k_50:	0.00000000
k_51:	0.02506891
k_52:	0.05015358
k_53:	0.07526986
k_54:	0.10043372
k_55:	0.12566135
k_56:	0.15096922
k_57:	0.17637416
k_58:	0.20189348
k_59:	0.22754498
k_60:	0.25334710
k_61:	0.27931903
k_62:	0.30548079
k_63:	0.33185335
k_64:	0.35845879
k_65:	0.38532047
k_66:	0.41246313
k_67:	0.43991317
k_68:	0.46769880
k_69:	0.49585035
k_70:	0.52440051
k_71:	0.55338472
k_72:	0.58284151
k_73:	0.61281299
k_74:	0.64334541
k_75:	0.67448975
k_76:	0.70630256
k_77:	0.73884685
k_78:	0.77219321
k_79:	0.80642125
k_80:	0.84162123
k_81:	0.87789630
k_82:	0.91536509
k_83:	0.95416525
k_84:	0.99445788
k_85:	1.03643339
k_86:	1.08031934
k_87:	1.12639113
k_88:	1.17498679
k_89:	1.22652812
k_90:	1.28155157
k_91:	1.34075503
k_92:	1.40507156
k_93:	1.47579103
k_94:	1.55477359
k_95:	1.64485363
k_96:	1.75068607
k_97:	1.88079361
k_98:	2.05374891
k_99:	2.32634787
k_999:	3.09023231
